title,rating
1917,1015.0
21 Jump Street,1031.29
22 Jump Street,952.46
A Bug's Life,969.35
Air Bud,1000
Air Bud: Golden Reciever,969.35
Aladdin,1015.68
Ant-Man,1000
Ant-Man and the Wasp,1030.65
Aquaman,1001.97
Arrival,1015.0
Avatar,985.0
Avengers: Age of Ultron,1000
Avengers: Endgame,985.0
Avengers: Infinity War,1000
Baby Driver,1000
Back to the Future,1015.0
Back to the Future Part II,998.65
Back to the Future Part III,984.35
Beauty and the Beast,1017.76
Bee Movie,953.0
Big Hero 6,968.71
Black Panther,1000
Black Widow,968.67
Bolt,1000
Brave,985.0
Captain America: Civil War,1000
Captain America: The First Avenger,1000
Captain America: The Winter Soldier,1000
Captain Marvel,985.0
Cars,968.03
Cars 2,985.03
Cars 3,984.35
Catch Me If You Can,1000.0
Chicken Little,953.03
Coco,969.35
Deadpool,1015.0
Deadpool 2,1014.35
Despicable Me,1030.62
Despicable Me 2,1000
Despicable Me 3,1000
Die Hard,1000
Doctor Strange,1015.0
Don’t Look Up,969.35
Dunkirk,1000
E.T. the Extra-Terrestrial,1000
Edward Scissorhands,1000
Elf,1000
Encanto,1000
Field of Dreams,1015.0
Finding Dory,969.35
Finding Nemo,1000
Ford v Ferrari,1030.65
Frozen,985.0
G-Force,1000
Get Out,1015.65
Godzilla vs. Kong,1015.0
Groundhog Day,1015.0
Grown-Ups,1000
Grown-Ups 2,1012.85
Guardians of the Galaxy,1000
Guardians of the Galaxy Vol. 2,1031.32
Happy Feet,968.67
Happy Gilmore,1015.0
High School Musical,1000
Home Alone,969.35
Home Alone 2: Lost in New York,1000
Honey I Shrunk the Kids,1000
Hotel Transylvania,985.03
How to Train Your Dragon,1014.29
How to Train Your Dragon 2,1000
How to Train Your Dragon: The Hidden World,1000
Ice Age ,985.0
Ice Age 2: The Meltdown,1015.0
Ice Age 3: Dawn of the Dinosaurs,1000
Ice Age 4: Continental Drift,984.35
Ice Age 5: Collision Course,998.68
Indiana Jones and the Kingdom of the Crystal Skull,1000
Indiana Jones and the Raiders of the Lost Ark,1000
Indiana Jones and the Temple of Doom,985.0
Inside Out,1015.0
Interstellar,1000
Into the Woods,953.03
Iron Man,1015.61
Iron Man 2,1000
Iron Man 3,1000
Jurassic Park,984.38
Jurassic World,985.0
Kingsman: The Secret Service,1000
Klaus,1000
Kung Fu Panda,1015.0
Kung Fu Panda 2,985.0
Life is Beautiful,1030.65
Life of Brian,1000
Life of Pi,1002.67
Lilo & Stitch,985.65
Lord of the Rings: The Fellowship of the Ring,1000
Lord of the Rings: The Return of the King,1032.64
Lord of the Rings: The Two Towers,1000
Luca,1000
Madagascar,1014.32
Madagascar 3: Europe's Most Wanted,1000
Madagascar: Escape 2 Africa,1014.3
Mars Needs Moms,985.0
McFarland USA,985.0
Meet the Robinsons,1002.02
Megamind,1000.65
Midway,1000
Minions,985.0
Moana,1015.0
Moneyball,1015.65
Monsters University,1046.26
Monsters Inc.,1015.0
Monty Python and the Holy Grail,985.0
Mulan,1000
National Treasure,1030.65
Night at the Museum,1029.97
Night at the Museum: Battle of the Smithsonian,1000
Night at the Museum: Secret of the Tomb,1000.65
Onward,1014.35
Penguins of Madagascar,1014.35
Peter Pan,1000.65
Phineas and Ferb the Movie: Across the 2nd Dimension,969.35
Pirates of the Caribbean: At World's End,1017.04
Pirates of the Caribbean: Dead Man's Chest,985.0
Pirates of the Caribbean: Dead Men Tell No Tales,984.35
Pirates of the Caribbean: On Stranger Tides,985.0
Pirates of the Caribbean: The Curse of the Black Pearl,986.33
Planes,1000
Pokémon Detective Pikachu,1014.35
Project X,1015.65
Ralph Breaks the Internet,1000
Ratatouille,1030.65
Red Tails,1000
Rio,1029.27
Rio 2,985.0
Rise of the Guardians,1000
Rogue One: A Star Wars Story,1000
Rush,1015.0
Saving Private Ryan,1000
School of Rock,985.0
Secretariat,1001.39
Shang-Chi and the Legend of the Ten Rings,1047.64
Shrek,1000
Solo: A Star Wars Story,1015.68
Soul,1000
Spaceballs,1000
Spider-Man,1015.0
Spider-Man 2,969.35
Spider-Man 3,1014.35
Spider-Man: Far From Home,1015.0
Spider-Man: Homecoming,985.0
Spider-Man: Into the Spider-Verse,1000
Spider-Man: No Way Home,1000
Star Wars: A New Hope (4),985.0
Star Wars: Attack of the Clones (2),1000
Star Wars: Return of the Jedi (6),1000.65
Star Wars: Revenge of the Sith (3),1030.65
Star Wars: The Empire Strikes Back (5),1014.35
Star Wars: The Force Awakens (7),1015.65
Star Wars: The Last Jedi (8),968.71
Star Wars: The Phantom Menace (1),985.0
Star Wars: The Rise of Skywalker (9),1000
Step Brothers,1015.0
Superbad,1031.31
Tangled,935.32
Tarzan,1000
Terminator,968.71
The Amazing Spider-Man,969.35
The Amazing Spider-Man 2,1000
The Avengers,1014.35
The Bad News Bears,1015.0
The Boss Baby,969.35
The Emoji Movie,1000
The Emperor's New Groove,1000
The Fast and the Furious: Tokyo Drift,1000
The Finest Hours,1047.64
The Hobbit: An Unexpected Journey,985.0
The Hobbit: The Battle of the Five Armies,1000
The Hobbit: The Desolation of Smaug,985.03
The Incredibles,1000
The Incredibles 2,1015.0
The Interview,984.39
The Iron Giant,1000
The Jungle Book,1000
The Lego Movie,1029.97
The Lion King,1016.32
The Lion King,1000
The Little Mermaid,985.0
The Martian,1000
The Matrix,1000
The Princess and the Frog,1015.65
The Sandlot,1015.68
The Secret Life of Pets,1000
The Smurfs,1000
The Social Network,1015.0
The Wolf of Wall Street,1015.65
Thor,985.65
Thor: Ragnarok,1031.3
Thor: The Dark World,1000
Tomorrowland,968.62
Top Gun,1015.65
Toy Story,1000
Toy Story 2,1000
Toy Story 3,1000
Transformers,1015.65
Tropic Thunder,969.35
Up,999.35
Velocipastor,983.65
Wall-E,1015.65
War Dogs,1000
Wonder Woman,1030.65
Wonder Woman: 1984,970.06
Wreck-It Ralph,1015.0
Your Name.,1015.0
Zoolander,985.0
Zootopia,1000
